species	image_url
Trachinotus baillonii	https://inaturalist-open-data.s3.amazonaws.com/photos/343843174/original.jpg
Albula glossodonta	https://inaturalist-open-data.s3.amazonaws.com/photos/344963966/original.jpg
Polydactylus sexfilis	https://inaturalist-open-data.s3.amazonaws.com/photos/360981741/original.jpeg
Acanthurus triostegus	https://inaturalist-open-data.s3.amazonaws.com/photos/343803810/original.jpeg
Epinephelus fasciatus	https://inaturalist-open-data.s3.amazonaws.com/photos/345001491/original.jpg
Stethojulis balteata	https://inaturalist-open-data.s3.amazonaws.com/photos/344076334/original.jpeg
Caranx melampygus	https://inaturalist-open-data.s3.amazonaws.com/photos/344010236/original.jpeg
Sargocentron punctatissimum	https://inaturalist-open-data.s3.amazonaws.com/photos/344318665/original.jpg
Myripristis kuntee	https://inaturalist-open-data.s3.amazonaws.com/photos/344438723/original.jpeg
Nebrius ferrugineus	https://inaturalist-open-data.s3.amazonaws.com/photos/344947861/original.jpg
Gerres longirostris	https://inaturalist-open-data.s3.amazonaws.com/photos/350619660/original.jpeg
Acanthurus nigrofuscus	https://inaturalist-open-data.s3.amazonaws.com/photos/344017601/original.jpg
Chromis nigrura	https://inaturalist-open-data.s3.amazonaws.com/photos/346827399/original.jpeg
Plectorhinchus albovittatus	https://inaturalist-open-data.s3.amazonaws.com/photos/356760163/original.jpg
Parupeneus barberinus	https://inaturalist-open-data.s3.amazonaws.com/photos/344439222/original.jpeg
Carcharhinus melanopterus	https://inaturalist-open-data.s3.amazonaws.com/photos/344462839/original.jpg
Naso unicornis	https://inaturalist-open-data.s3.amazonaws.com/photos/344181647/original.png
Paracirrhites forsteri	https://inaturalist-open-data.s3.amazonaws.com/photos/343870507/original.jpg
Urogymnus asperrimus	https://inaturalist-open-data.s3.amazonaws.com/photos/345793351/original.jpeg
Gnathanodon speciosus	https://inaturalist-open-data.s3.amazonaws.com/photos/344010824/original.jpeg
Canthigaster bennetti	https://inaturalist-open-data.s3.amazonaws.com/photos/344355952/original.jpeg
Caranx ignobilis	https://inaturalist-open-data.s3.amazonaws.com/photos/348658356/original.jpeg
Chaetodon kleinii	https://inaturalist-open-data.s3.amazonaws.com/photos/344286642/original.jpg
Caesio caerulaurea	https://inaturalist-open-data.s3.amazonaws.com/photos/345780321/original.jpg
Lutjanus gibbus	https://inaturalist-open-data.s3.amazonaws.com/photos/344200235/original.jpg
Sufflamen chrysopterum	https://inaturalist-open-data.s3.amazonaws.com/photos/345338332/original.jpeg
Cymolutes praetextatus	https://inaturalist-open-data.s3.amazonaws.com/photos/345560257/original.jpg
Rhinecanthus rectangulus	https://inaturalist-open-data.s3.amazonaws.com/photos/344023932/original.jpg
Monotaxis grandoculis	https://inaturalist-open-data.s3.amazonaws.com/photos/344681194/original.jpg
Eviota prasina	https://inaturalist-open-data.s3.amazonaws.com/photos/266188428/original.jpeg
Thalassoma amblycephalum	https://inaturalist-open-data.s3.amazonaws.com/photos/344181572/original.png
Melichthys niger	https://inaturalist-open-data.s3.amazonaws.com/photos/344278920/original.jpg
Coris dorsomacula	https://inaturalist-open-data.s3.amazonaws.com/photos/375991738/original.jpg
Schismorhynchus labialis	http://www.boldsystems.org/pics/SCILL/USNM_434909_104mmTL_photograph_SCIL_020_SCIL_2014_04+1507754106.JPG
Halichoeres nebulosus	https://inaturalist-open-data.s3.amazonaws.com/photos/344755056/original.jpg
Pervagor janthinosoma	https://inaturalist-open-data.s3.amazonaws.com/photos/347595123/original.jpg
Anampses caeruleopunctatus	https://inaturalist-open-data.s3.amazonaws.com/photos/347087097/original.jpg
Cirripectes castaneus	https://inaturalist-open-data.s3.amazonaws.com/photos/346827135/original.jpeg
Ptereleotris zebra	https://inaturalist-open-data.s3.amazonaws.com/photos/361175689/original.jpg
Gnatholepis anjerensis	https://inaturalist-open-data.s3.amazonaws.com/photos/354123669/original.jpg
Platax orbicularis	https://inaturalist-open-data.s3.amazonaws.com/photos/344046243/original.jpg
Gymnothorax undulatus	https://inaturalist-open-data.s3.amazonaws.com/photos/344399616/original.jpg
Gymnothorax buroensis	https://inaturalist-open-data.s3.amazonaws.com/photos/256209890/original.jpg
Eleotris fusca	https://inaturalist-open-data.s3.amazonaws.com/photos/347025530/original.jpeg
Blenniella chrysospilos	https://inaturalist-open-data.s3.amazonaws.com/photos/346448156/original.jpeg
Rhinecanthus aculeatus	https://inaturalist-open-data.s3.amazonaws.com/photos/344019983/original.jpg
Apogonichthys perdix	https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=b7a818aa-08e8-4ca1-9b0b-8dbde8df5798
Novaculoides macrolepidotus	https://inaturalist-open-data.s3.amazonaws.com/photos/354057121/original.jpeg
Pseudanthias squamipinnis	https://inaturalist-open-data.s3.amazonaws.com/photos/344181261/original.png
Nudechinus verruculatus	https://inaturalist-open-data.s3.amazonaws.com/photos/300670939/original.jpeg
Diodon hystrix	https://inaturalist-open-data.s3.amazonaws.com/photos/344050699/original.jpeg
