"aphiaID";"kingdom";"phylum";"class";"order";"family";"genus"
843664;"Animalia";"Chordata";NA;NA;NA;NA
218440;"Animalia";"Chordata";"Teleostei";"Carangiformes";"Carangidae";"Trachinotus"
212255;"Animalia";"Chordata";"Teleostei";"Albuliformes";"Albulidae";"Albula"
218909;"Animalia";"Chordata";"Teleostei";"Carangaria incertae sedis";"Polynemidae";"Polydactylus"
219630;"Animalia";"Chordata";"Teleostei";"Acanthuriformes";"Acanthuridae";"Acanthurus"
218207;"Animalia";"Chordata";"Teleostei";"Perciformes";"Serranidae";"Epinephelus"
125936;"Animalia";"Chordata";"Teleostei";"Carangiformes";"Carangidae";"Caranx"
219060;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Labridae";"Stethojulis"
125908;"Animalia";"Chordata";"Teleostei";"Acanthuriformes";"Acanthuridae";"Acanthurus"
218419;"Animalia";"Chordata";"Teleostei";"Carangiformes";"Carangidae";"Caranx"
217941;"Animalia";"Chordata";"Teleostei";"Holocentriformes";"Holocentridae";"Sargocentron"
217915;"Animalia";"Chordata";"Teleostei";"Holocentriformes";"Holocentridae";"Myripristis"
220030;"Animalia";"Chordata";"Elasmobranchii";"Orectolobiformes";"Ginglymostomatidae";"Nebrius"
159791;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Lutjanidae";"Lutjanus"
367242;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Gerreidae";"Gerres"
219640;"Animalia";"Chordata";"Teleostei";"Acanthuriformes";"Acanthuridae";"Acanthurus"
12;"Biota incertae sedis";NA;NA;NA;NA;NA
212799;"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Chromis"
218548;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Haemulidae";"Plectorhinchus"
218660;"Animalia";"Chordata";"Teleostei";"Mulliformes";"Mullidae";"Parupeneus"
105795;"Animalia";"Chordata";"Elasmobranchii";"Carcharhiniformes";"Carcharhinidae";"Carcharhinus"
219668;"Animalia";"Chordata";"Teleostei";"Acanthuriformes";"Acanthuridae";"Naso"
126024;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Labridae";"Thalassoma"
218867;"Animalia";"Chordata";"Teleostei";"Centrarchiformes";"Cirrhitidae";"Paracirrhites"
217424;"Animalia";"Chordata";"Elasmobranchii";"Myliobatiformes";"Dasyatidae";"Urogymnus"
218429;"Animalia";"Chordata";"Teleostei";"Carangiformes";"Carangidae";"Gnathanodon"
1042821;"Animalia";"Chordata";"Elasmobranchii";"Myliobatiformes";"Dasyatidae";"Pateobatis"
219938;"Animalia";"Chordata";"Teleostei";"Tetraodontiformes";"Tetraodontidae";"Canthigaster"
218414;"Animalia";"Chordata";"Teleostei";"Carangiformes";"Carangidae";"Caranx"
125913;"Animalia";"Chordata";"Teleostei";"Kurtiformes";"Apogonidae";"Apogon"
218738;"Animalia";"Chordata";"Teleostei";"Acanthuriformes";"Chaetodontidae";"Chaetodon"
219995;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Caesionidae";"Caesio"
